frame_index,timestamp_sec,time_normalized,speed_relative,acceleration_relative,jerk_proxy,curvature,step_relative,pose_jump,bspline_residual,rts_residual,innovation_norm
155,34.567000000,0.779411765,1.10308993,29.0778941,3357.41653,14.7537143,0.00636166985,false,0.000486873438,0.0105682083,0.0227705679
156,34.717000000,0.783823529,1.16439711,7.34248222,6037.9297,4.55218971,0.00502105177,false,0.000401007015,0.00974896261,0.0217088535
157,34.867000000,0.788235294,1.07241082,24.3912203,1688.18043,12.4581627,0.00527728735,false,0.0011854894,0.00899575975,0.0206787014
158,35.067000000,0.794117647,0.953510941,17.0182604,2450.71435,16.8585761,0.00539099797,false,0.00081387043,0.00986722762,0.0211947675
159,35.217000000,0.798529412,0.968596366,12.2804795,2938.99611,13.0777804,0.00437574149,false,0.000636220644,0.00953794994,0.0204507019
160,35.417000000,0.804411765,0.944043241,17.2646773,3532.5518,18.4449574,0.00553566922,false,0.000289392644,0.00928496265,0.0199174421
161,35.567000000,0.808823529,1.00071286,26.913418,2958.446,12.0890686,0.00424788977,false,0.000599681023,0.0090232317,0.0191070182
162,35.767000000,0.814705882,1.22917449,27.6371612,6506.71381,9.06120131,0.00631020115,false,0.000863476338,0.0094104032,0.0192348716
163,35.917000000,0.819117647,0.913233072,46.5863508,4362.21936,6.84835167,0.00597552493,false,0.00183356742,0.00855282683,0.0180432353
164,36.067000000,0.823529412,0.819744557,12.1803951,7377.27485,15.7541795,0.00220080837,false,0.00136046853,0.00993295047,0.0190951646
165,36.267000000,0.829411765,1.07443845,13.3043065,4575.80626,3.27228509,0.00758687421,false,0.00135457292,0.00873266227,0.0175031282
166,36.417000000,0.833823529,1.02956742,27.1318654,3608.0142,8.88710761,0.00403778828,false,0.00130742888,0.00888290492,0.0172628365
167,36.617000000,0.839705882,0.781193664,6.4339262,7693.32728,5.57720858,0.00696102256,false,0.00233383367,0.00908474955,0.0170283003
168,36.767000000,0.844117647,0.868738324,43.3916843,2347.77896,46.8838786,0.00254675426,false,0.00239898015,0.00901809994,0.0163871933
169,36.917000000,0.848529412,1.01545708,14.3966129,5999.18833,5.40104624,0.0057561112,false,0.00235783346,0.00930407285,0.0164113263
170,37.117000000,0.854411765,0.935265008,19.333122,4122.0896,21.6856616,0.00386690246,false,0.00230263523,0.00892888393,0.015855913
171,37.267000000,0.858823529,0.99073417,30.8999594,6948.55671,28.6145088,0.00515684043,false,0.00335069962,0.00931621763,0.0155030739
172,37.467000000,0.864705882,1.13762911,44.1484629,5930.39732,18.2116916,0.00458231583,false,0.00380754673,0.00896697573,0.0148565651
173,37.617000000,0.869117647,1.30970012,15.1457763,11670.9205,8.74437097,0.00633869138,false,0.00236437189,0.00899489818,0.0149322798
174,37.817000000,0.875,0.999779478,99.8058165,6224.13183,51.286195,0.0068814337,false,0.00249995646,0.00866917888,0.0141535244
175,37.967000000,0.879411765,0.611889327,45.9522791,15383.658,122.712459,0.00390643783,false,0.00154261786,0.00762962126,0.0130761802
176,38.117000000,0.883823529,0.875238502,41.7571724,10460.9157,53.9155168,0.00286115817,false,0.00367899741,0.00806134164,0.0141008253
177,38.317000000,0.889705882,0.531147001,79.0123898,10029.4429,254.903389,0.0105907364,false,0.00254938939,0.00898642491,0.0142937239
178,38.467000000,0.894117647,0.436264376,55.5528895,17795.1385,270.569196,0.00324037279,false,0.00490556569,0.00789678096,0.0133197231
179,38.667000000,0.9,1.45263,69.1949059,13309.5903,15.4950208,0.00683181347,false,0.00379344929,0.00652880534,0.0117570737
180,38.817000000,0.904411765,1.23437419,54.0824416,12091.1733,27.4557079,0.00743311845,false,0.000719888537,0.00649234258,0.0112724206
181,38.967000000,0.908823529,1.15502628,48.3208032,7745.18625,21.9646894,0.00374100077,false,0.0016477003,0.00587466293,0.0107212977
182,39.167000000,0.914705882,0.753310803,91.6277223,11833.6951,38.4225749,0.00941935504,false,0.00361839943,0.00800114741,0.0119228734
183,39.317000000,0.919117647,0.302186028,44.3398542,19317.4718,454.650025,0.000861216365,false,0.00250271013,0.00799007432,0.0124766943
184,39.517000000,0.925,1.33464041,92.3715493,10221.4597,18.1723636,0.00381841763,false,0.00251513231,0.00802130246,0.0123898842
